Time,!a,!b,!c
7341.68022936604,10000,10000,109
7362.87872149197,10000,10000,107
7385.98069598194,10000,10000,111
7406.63543877835,10000,10000,111
7431.06366613377,10000,10000,108
7452.09552026601,10000,10000,103
7479.48045097627,10000,10000,101
7500.15815541726,10000,10000,101
7522.31041479315,10000,10000,98
7544.10172129254,10000,10000,98
7570.55877846171,10000,10000,96
7597.09669974218,10000,10000,94
7625.60404464563,10000,10000,99
7648.93324931681,10000,10000,98
7674.76863381605,10000,10000,96
7697.20420631752,10000,10000,101
7719.91352231135,10000,10000,100
7742.77430173148,10000,10000,99
7770.55636190275,10000,10000,98
7791.11196517717,10000,10000,100
7817.86670037516,10000,10000,98
7841.97374852702,10000,10000,97
7866.08886600409,10000,10000,99
7891.82251006318,10000,10000,103
7919.0474990467,10000,10000,104
7941.9100147492,10000,10000,103
7972.72234606747,10000,10000,102
8006.41912625707,10000,10000,102
8027.16124458953,10000,10000,102
8049.37042117874,10000,10000,99
8075.52997322531,10000,10000,95
8104.11784338782,10000,10000,91
8126.29591038711,10000,10000,92
8148.18168047854,10000,10000,92
8182.28298251428,10000,10000,93
8203.44908401215,10000,10000,94
8229.96863742958,10000,10000,92
8256.14791441231,10000,10000,93
8278.85709787727,10000,10000,91
8299.79514910178,10000,10000,92
8323.41504743668,10000,10000,92
8350.77981771581,10000,10000,91
8374.60064188004,10000,10000,93
8401.40200058202,10000,10000,97
8428.52171301313,10000,10000,98
8451.01336550753,10000,10000,96
8471.74155608218,10000,10000,94
8492.50283163505,10000,10000,96
8515.68071333678,10000,10000,96
8545.37023210551,10000,10000,98
8569.84418705336,10000,10000,95
8590.25322701784,10000,10000,95
8613.72055670574,10000,10000,98
8636.68481400752,10000,10000,96
8661.17197523968,10000,10000,94
8682.32028255408,10000,10000,92
8706.85084580017,10000,10000,91
8733.97070063441,10000,10000,87
8759.32893709212,10000,10000,88
8787.60781470487,10000,10000,89
8819.35614432545,10000,10000,89
8843.07937975717,10000,10000,89
8863.96148875993,10000,10000,89
8888.91980108871,10000,10000,91
8911.27488584225,10000,10000,92
8931.33943540796,10000,10000,92
8951.93119786057,10000,10000,94
8972.85766180981,10000,10000,95
9014.72324739636,10000,10000,93
9040.69167189923,10000,10000,94
9067.58147146963,10000,10000,95
9092.92421423822,10000,10000,92
9115.53286780372,10000,10000,93
9136.41881427825,10000,10000,95
9160.92509107469,10000,10000,96
9192.45727418799,10000,10000,96
9217.42063710568,10000,10000,96
9238.71767104179,10000,10000,97
9259.37465222191,10000,10000,98
9280.06800579204,10000,10000,99
9301.93755155528,10000,10000,102
9323.11704379577,10000,10000,98
9352.98855412373,10000,10000,99
9378.94244865762,10000,10000,99
9403.75026922652,10000,10000,98
9423.9681266012,10000,10000,98
9445.09742049656,10000,10000,101
9486.17214858111,10000,10000,100
9508.50982556423,10000,10000,96
9531.33885552182,10000,10000,96
9557.4360416162,10000,10000,94
9578.11945101642,10000,10000,96
9606.88788425783,10000,10000,97
9637.9681000937,10000,10000,96
9661.30082540727,10000,10000,98
9681.44439207957,10000,10000,100
9709.20233218564,10000,10000,100
9744.72379511548,10000,10000,101
9767.65218162748,10000,10000,104
9796.42181771852,10000,10000,101
9827.24147766166,10000,10000,99
9850.37799034817,10000,10000,101
9873.25847891998,10000,10000,100
9899.62262194295,10000,10000,97
9920.83142590808,10000,10000,99
9943.01473548981,10000,10000,101
9973.1553189338,10000,10000,101
9993.20932464039,10000,10000,99
10017.8100255889,10000,10000,96
10040.9597646139,10000,10000,97
10063.324080614,10000,10000,97
10089.8932797649,10000,10000,100
10110.6497946367,10000,10000,101
10140.1423031645,10000,10000,102
10160.2841371871,10000,10000,104
10183.058139003,10000,10000,102
10207.9988718814,10000,10000,99
10229.302944821,10000,10000,98
10261.9387093918,10000,10000,93
10283.4804386752,10000,10000,92
10304.4202449758,10000,10000,97
10326.5189819694,10000,10000,96
10355.8959296734,10000,10000,98
10378.8429533319,10000,10000,98
10404.3654134855,10000,10000,98
10427.2620816635,10000,10000,96
10453.2659070234,10000,10000,96
10475.5421073302,10000,10000,96
10495.6458380866,10000,10000,92
10523.4680671154,10000,10000,93
10545.3773375511,10000,10000,96
10570.2670391684,10000,10000,98
10601.0117953657,10000,10000,101
10622.5304071045,10000,10000,103
10642.8687182233,10000,10000,104
10665.9595174868,10000,10000,103
10687.7104727226,10000,10000,105
10715.1539648554,10000,10000,104
